,Price,Price,Price,Price
,min,max,first,last
Date,,,,
2023-09-13,26091.35049184821,26304.01546518303,26188.39626073516,26234.18982796697
2023-09-14,26193.031945995655,26751.79664567292,26222.013303986474,26615.532123428224
2023-09-15,26251.615685201057,26792.60882462043,26531.39556626326,26792.60882462043
2023-09-16,26471.09371981062,26704.25388242849,26610.403126161622,26566.033844441456
2023-09-17,26462.58323203275,26605.36747233914,26557.768691994646,26468.617801591503
2023-09-18,26456.81769925053,27394.588104693972,26520.988254783886,26867.0605755984
2023-09-19,26682.841448803098,27289.4248902988,26741.461110948952,27200.83584839815
2023-09-20,26936.571052710085,27318.242557709546,27213.18465907596,27110.600552890646
2023-09-21,26418.52778477277,27115.846446970816,27115.846446970816,26589.232106802505
2023-09-22,26534.177936540287,26688.33796153136,26561.133454198716,26582.589416632578
2023-09-23,26536.561163334205,26615.098925655053,26581.967576018324,26575.52911690974
2023-09-24,26447.45930249158,26657.753582685626,26573.9234797301,26503.235602590674
2023-09-25,26059.043074839537,26357.55015326377,26257.58376993293,26287.076366997982
2023-09-26,26111.574712349553,26347.306498337617,26296.92231737691,26151.495531909033
2023-09-27,26166.382102431195,26805.628892226956,26204.75759083597,26288.209341200014
2023-09-28,26344.99309446877,27146.515346023432,26350.146895428057,27013.05810967051
2023-09-29,26836.0656620818,27151.16450461917,27009.01375072488,26896.650032793077
2023-09-30,26895.989846752356,27075.965613822682,26917.199101637976,27007.09435594733
2023-10-01,26969.876144072576,27958.086080312773,26969.876144072576,27958.086080312773
2023-10-02,27401.389272685337,28493.813745265812,27967.510579087113,27548.852018252153
2023-10-03,27265.62463094056,27665.63327626977,27615.06488509527,27317.95783922375
2023-10-04,27320.072509867994,27749.3591623358,27426.281146181223,27749.3591623358
2023-10-05,27441.098459102155,28002.696815579708,27792.1112772493,27467.11281497509
2023-10-06,27243.358912167776,28141.091408717115,27435.874615135104,28015.369152584746
2023-10-07,27876.74105849813,28019.428794289277,27958.196437350485,27974.7571037059
2023-10-08,27831.66156449875,28088.344154516606,27977.543490700005,27919.889110632826
2023-10-09,27354.09084225846,27984.53805572639,27948.10365174851,27600.1025698656
2023-10-10,27303.143762531436,27710.146587078358,27593.782534439666,27453.037553654438
2023-10-11,26634.191751329097,27461.472926157647,27392.247702732497,26782.107677394106
2023-10-12,26621.40736495772,26900.51950068074,26878.332841551837,26741.573640176197
2023-10-13,26729.137205815106,26923.440559562914,26729.137205815106,26802.426215455056
